Component,MAE,R2,Correlation
WW,109.0125503540039,0.6392314434051514,0.7995195078327678
HPC_SV,486.3887023925781,0.8906606435775757,0.943748188648633
HPT_SV,162.97329711914062,0.919112503528595,0.9587035535182891
