Window,MAE,R2,Correlation,Epochs,N_sequences
10,239.32730102539062,-0.017050862312316895,0.0,258,7878
30,103.47379302978516,0.7252274751663208,0.8516028858372433,224,7798
50,100.63324737548828,0.7066088318824768,0.8406002806818927,240,7718
100,78.13423156738281,0.7650882005691528,0.8746932036829558,203,7518
