left_out_esn,mae,twe,r2,baseline_mae,improvement
101,158.07613217608818,384.4935739459686,0.5040790170012859,252.35938871114675,37.36070887498313
102,179.92723780859941,385.70890464403703,0.4266151706718251,250.76187159268548,28.24776882314203
103,169.81342091247976,359.6735732054031,0.4651504757885795,250.342183888607,32.167476421776186
104,205.0330112138952,518.3467354728289,0.23651360741138772,256.12018890200704,19.94656411395123
